column_name,description,source,role
gdp_per_capita_usd,"GDP per capita, current US dollars",World Bank WDI,target
life_expectancy_at_birth,"Life expectancy at birth, total (years)",World Bank WDI,causal
fertility_rate,"Fertility rate, total (births per woman)",World Bank WDI,causal
infant_mortality_per_1000,"Mortality rate, infant (per 1,000 live births)",World Bank WDI,causal
pct_urban_population,Urban population (% of total population),World Bank WDI,causal
secondary_enrollment_gross,"School enrollment, secondary (% gross)",World Bank WDI,causal
gross_capital_formation_pct_gdp,Gross capital formation (% of GDP),World Bank WDI,causal
fdi_net_inflows_pct_gdp,"Foreign direct investment, net inflows (% of GDP)",World Bank WDI,causal
gross_savings_pct_gdp,Gross savings (% of GDP),World Bank WDI,causal
trade_pct_gdp,Trade (% of GDP),World Bank WDI,causal
exports_pct_gdp,Exports of goods and services (% of GDP),World Bank WDI,causal
pct_internet_users,Individuals using the Internet (% of population),World Bank WDI,causal
mobile_subscriptions_per_100,Mobile cellular subscriptions (per 100 people),World Bank WDI,causal
electric_power_consumption_kwh_pc,Electric power consumption (kWh per capita),World Bank WDI,causal
inflation_consumer_prices_annual,"Inflation, consumer prices (annual %)",World Bank WDI,causal
govt_consumption_pct_gdp,General government final consumption expenditure (% of GDP),World Bank WDI,causal
total_natural_resources_rent_pct_gdp,Total natural resources rents (% of GDP),World Bank WDI,causal
rule_of_law_index,Rule of Law Index,World Bank WGI,causal
control_of_corruption_index,Control of Corruption Index,World Bank WGI,causal
regulatory_quality_index,Regulatory Quality Index,World Bank WGI,causal
government_effectiveness_index,Government Effectiveness Index,World Bank WGI,causal
political_stability_index,Political Stability and Absence of Violence Index,World Bank WGI,causal
voice_and_accountability_index,Voice and Accountability Index,World Bank WGI,causal
pct_forest_area,Pct Forest Area,World Bank WDI,incidental
pct_arable_land,Pct Arable Land,World Bank WDI,incidental
pm25_air_pollution,Pm25 Air Pollution,World Bank WDI,incidental
military_expenditure_pct_gdp,Military Expenditure Pct Gdp,World Bank WDI,incidental
health_expenditure_pct_gdp,Health Expenditure Pct Gdp,World Bank WDI,incidental
education_expenditure_pct_gdp,Education Expenditure Pct Gdp,World Bank WDI,incidental
unemployment_rate,Unemployment Rate,World Bank WDI,incidental
pct_employment_agriculture,Pct Employment Agriculture,World Bank WDI,incidental
pct_employment_industry,Pct Employment Industry,World Bank WDI,incidental
agriculture_value_added_pct_gdp,Agriculture Value Added Pct Gdp,World Bank WDI,incidental
industry_value_added_pct_gdp,Industry Value Added Pct Gdp,World Bank WDI,incidental
services_value_added_pct_gdp,Services Value Added Pct Gdp,World Bank WDI,incidental
pct_electricity_from_renewables,Pct Electricity From Renewables,World Bank WDI,incidental
pct_energy_from_renewables,Pct Energy From Renewables,World Bank WDI,incidental
land_area_sq_km,Land Area Sq Km,World Bank WDI,incidental
freshwater_withdrawal_pct,Freshwater Withdrawal Pct,World Bank WDI,incidental
pct_smoking_prevalence,Pct Smoking Prevalence,World Bank WDI,incidental
age_dependency_ratio,Age Dependency Ratio,World Bank WDI,incidental
pct_population_over_65,Pct Population Over 65,World Bank WDI,incidental
pct_population_under_15,Pct Population Under 15,World Bank WDI,incidental
current_account_balance_pct_gdp,Current Account Balance Pct Gdp,World Bank WDI,incidental
broad_money_pct_gdp,Broad Money Pct Gdp,World Bank WDI,incidental
noncommunicable_disease_mortality_pct,Noncommunicable Disease Mortality Pct,World Bank WDI,incidental
tuberculosis_incidence_per_100k,Tuberculosis Incidence Per 100K,World Bank WDI,incidental
maternal_mortality_ratio,Maternal Mortality Ratio,World Bank WDI,incidental
unesco_world_heritage_sites,UNESCO World Heritage Sites,UNESCO,spurious
letters_in_country_name,Letters in country name,Computed,spurious
vowels_in_country_name,Vowels in country name,Computed,spurious
consonants_in_country_name,Consonants in country name,Computed,spurious
words_in_country_name,Words in country name,Computed,spurious
num_border_countries,Number of land borders,Wikipedia,spurious
access_to_electricity_pct,Access To Electricity Pct,World Bank WDI,incidental
energy_use_kg_oil_equiv_pc,Energy Use Kg Oil Equiv Pc,World Bank WDI,incidental
energy_imports_pct_use,Energy Imports Pct Use,World Bank WDI,incidental
fossil_fuel_energy_consumption_pct,Fossil Fuel Energy Consumption Pct,World Bank WDI,incidental
electricity_from_coal_pct,Electricity From Coal Pct,World Bank WDI,incidental
electricity_from_natural_gas_pct,Electricity From Natural Gas Pct,World Bank WDI,incidental
electricity_from_nuclear_pct,Electricity From Nuclear Pct,World Bank WDI,incidental
electricity_from_hydro_pct,Electricity From Hydro Pct,World Bank WDI,incidental
electricity_from_oil_pct,Electricity From Oil Pct,World Bank WDI,incidental
air_transport_departures,Air Transport Departures,World Bank WDI,incidental
air_transport_passengers,Air Transport Passengers,World Bank WDI,incidental
domestic_credit_to_private_sector_pct_gdp,Domestic Credit To Private Sector Pct Gdp,World Bank WDI,incidental
reserves_months_imports,Reserves Months Imports,World Bank WDI,incidental
labor_force_total,Labor Force Total,World Bank WDI,incidental
labor_force_participation_rate,Labor Force Participation Rate,World Bank WDI,incidental
labor_force_participation_female,Labor Force Participation Female,World Bank WDI,incidental
labor_force_participation_male,Labor Force Participation Male,World Bank WDI,incidental
employment_in_services_pct,Employment In Services Pct,World Bank WDI,incidental
vulnerable_employment_pct,Vulnerable Employment Pct,World Bank WDI,incidental
wage_and_salaried_workers_pct,Wage And Salaried Workers Pct,World Bank WDI,incidental
self_employed_pct,Self Employed Pct,World Bank WDI,incidental
population_growth_annual_pct,Population Growth Annual Pct,World Bank WDI,incidental
birth_rate_crude_per_1000,Birth Rate Crude Per 1000,World Bank WDI,incidental
death_rate_crude_per_1000,Death Rate Crude Per 1000,World Bank WDI,incidental
survival_to_age_65_female,Survival To Age 65 Female,World Bank WDI,incidental
survival_to_age_65_male,Survival To Age 65 Male,World Bank WDI,incidental
population_ages_15_64_pct,Population Ages 15 64 Pct,World Bank WDI,incidental
rural_population_pct,Rural Population Pct,World Bank WDI,incidental
urban_population_growth_annual_pct,Urban Population Growth Annual Pct,World Bank WDI,incidental
age_dependency_ratio_old,Age Dependency Ratio Old,World Bank WDI,incidental
age_dependency_ratio_young,Age Dependency Ratio Young,World Bank WDI,incidental
food_production_index,Food Production Index,World Bank WDI,incidental
crop_production_index,Crop Production Index,World Bank WDI,incidental
livestock_production_index,Livestock Production Index,World Bank WDI,incidental
cereal_yield_kg_per_hectare,Cereal Yield Kg Per Hectare,World Bank WDI,incidental
fertilizer_consumption_kg_per_hectare,Fertilizer Consumption Kg Per Hectare,World Bank WDI,incidental
agricultural_land_pct,Agricultural Land Pct,World Bank WDI,incidental
arable_land_pct_land_area,Arable Land Pct Land Area,World Bank WDI,incidental
average_precipitation_mm_per_year,Average Precipitation Mm Per Year,World Bank WDI,incidental
capture_fisheries_production_metric_tons,Capture Fisheries Production Metric Tons,World Bank WDI,incidental
aquaculture_production_metric_tons,Aquaculture Production Metric Tons,World Bank WDI,incidental
freshwater_withdrawals_agriculture_pct,Freshwater Withdrawals Agriculture Pct,World Bank WDI,incidental
freshwater_withdrawals_industry_pct,Freshwater Withdrawals Industry Pct,World Bank WDI,incidental
freshwater_withdrawals_domestic_pct,Freshwater Withdrawals Domestic Pct,World Bank WDI,incidental
merchandise_trade_pct_gdp,Merchandise Trade Pct Gdp,World Bank WDI,incidental
high_tech_exports_current_usd,High Tech Exports Current Usd,World Bank WDI,incidental
high_tech_exports_pct_manufactured_exports,High Tech Exports Pct Manufactured Exports,World Bank WDI,incidental
fuel_imports_pct_merchandise_imports,Fuel Imports Pct Merchandise Imports,World Bank WDI,incidental
food_imports_pct_merchandise_imports,Food Imports Pct Merchandise Imports,World Bank WDI,incidental
manufactures_imports_pct_merchandise_imports,Manufactures Imports Pct Merchandise Imports,World Bank WDI,incidental
fuel_exports_pct_merchandise_exports,Fuel Exports Pct Merchandise Exports,World Bank WDI,incidental
food_exports_pct_merchandise_exports,Food Exports Pct Merchandise Exports,World Bank WDI,incidental
manufactures_exports_pct_merchandise_exports,Manufactures Exports Pct Merchandise Exports,World Bank WDI,incidental
merchandise_exports_current_usd,Merchandise Exports Current Usd,World Bank WDI,incidental
merchandise_imports_current_usd,Merchandise Imports Current Usd,World Bank WDI,incidental
scientific_technical_journal_articles,Scientific Technical Journal Articles,World Bank WDI,incidental
fixed_telephone_subscriptions_total,Fixed Telephone Subscriptions Total,World Bank WDI,incidental
fixed_telephone_per_100,Fixed Telephone Per 100,World Bank WDI,incidental
fixed_broadband_subscriptions,Fixed Broadband Subscriptions,World Bank WDI,incidental
fixed_broadband_per_100,Fixed Broadband Per 100,World Bank WDI,incidental
secure_internet_servers,Secure Internet Servers,World Bank WDI,incidental
secure_internet_servers_per_million,Secure Internet Servers Per Million,World Bank WDI,incidental
immunization_dpt_pct_children,Immunization Dpt Pct Children,World Bank WDI,incidental
immunization_measles_pct_children,Immunization Measles Pct Children,World Bank WDI,incidental
school_enrollment_primary_gross,School Enrollment Primary Gross,World Bank WDI,incidental
synthetic_noise_90,Synthetic noise feature 90,Synthetic (random),spurious
synthetic_noise_91,Synthetic noise feature 91,Synthetic (random),spurious
synthetic_noise_92,Synthetic noise feature 92,Synthetic (random),spurious
synthetic_noise_93,Synthetic noise feature 93,Synthetic (random),spurious
synthetic_noise_94,Synthetic noise feature 94,Synthetic (random),spurious
synthetic_noise_95,Synthetic noise feature 95,Synthetic (random),spurious
synthetic_noise_96,Synthetic noise feature 96,Synthetic (random),spurious
synthetic_noise_97,Synthetic noise feature 97,Synthetic (random),spurious
synthetic_noise_98,Synthetic noise feature 98,Synthetic (random),spurious
synthetic_noise_99,Synthetic noise feature 99,Synthetic (random),spurious
synthetic_noise_100,Synthetic noise feature 100,Synthetic (random),spurious
synthetic_noise_101,Synthetic noise feature 101,Synthetic (random),spurious
synthetic_noise_102,Synthetic noise feature 102,Synthetic (random),spurious
synthetic_noise_103,Synthetic noise feature 103,Synthetic (random),spurious
synthetic_noise_104,Synthetic noise feature 104,Synthetic (random),spurious
synthetic_noise_105,Synthetic noise feature 105,Synthetic (random),spurious
synthetic_noise_106,Synthetic noise feature 106,Synthetic (random),spurious
synthetic_noise_107,Synthetic noise feature 107,Synthetic (random),spurious
synthetic_noise_108,Synthetic noise feature 108,Synthetic (random),spurious
synthetic_noise_109,Synthetic noise feature 109,Synthetic (random),spurious
synthetic_noise_110,Synthetic noise feature 110,Synthetic (random),spurious
synthetic_noise_111,Synthetic noise feature 111,Synthetic (random),spurious
synthetic_noise_112,Synthetic noise feature 112,Synthetic (random),spurious
synthetic_noise_113,Synthetic noise feature 113,Synthetic (random),spurious
synthetic_noise_114,Synthetic noise feature 114,Synthetic (random),spurious
synthetic_noise_115,Synthetic noise feature 115,Synthetic (random),spurious
synthetic_noise_116,Synthetic noise feature 116,Synthetic (random),spurious
synthetic_noise_117,Synthetic noise feature 117,Synthetic (random),spurious
synthetic_noise_118,Synthetic noise feature 118,Synthetic (random),spurious
synthetic_noise_119,Synthetic noise feature 119,Synthetic (random),spurious
airports_total,Total number of airports,CIA World Factbook/Wikipedia,spurious
latitude_abs,Absolute latitude (distance from equator),Geographic,incidental
average_elevation_m,Average elevation above sea level (meters),Geographic,incidental
coastline_length_km,Coastline length (km),Geographic,incidental
number_of_islands,Number of islands,Geographic,incidental
mammal_species_count,Number of mammal species,Ecological,incidental
bird_species_count,Number of bird species,Ecological,incidental
endemic_species_count,Number of endemic species,Ecological,incidental
max_daylight_hours,Maximum daylight hours (summer solstice),Astronomical,incidental
daylight_variation_hours,Seasonal daylight variation (hours),Astronomical,incidental
documented_history_years,Years of documented written history,Historical,incidental
years_since_independence,Years since independence (2024 reference),Historical,incidental
admin_divisions_count,Number of first-level administrative divisions,Administrative,incidental
government_system_type,"Government system (0=parl, 1=pres, 2=semi-pres, 3=other)",Administrative,incidental
primary_writing_system,"Primary writing system (0=Latin, 1=Cyrillic, 2=Arabic, 3=Chinese, 4=Other)",Linguistic,incidental
num_official_languages,Number of official languages,Linguistic,incidental
first_letter_position,"Alphabetical position of first letter (A=1, Z=26)",Derived from country name,spurious
last_letter_position,"Alphabetical position of last letter (A=1, Z=26)",Derived from country name,spurious
syllables_in_country_name,Approximate number of syllables in country name,Derived from country name,spurious
unique_letters_count,Number of unique letters in country name,Derived from country name,spurious
vowel_to_consonant_ratio,Ratio of vowels to consonants in country name,Derived from country name,spurious
repeated_letters_count,"Number of repeated letters in country name (e.g., Philippines has repeated p)",Derived from country name,spurious
longest_consonant_cluster,Length of longest consonant cluster in country name,Derived from country name,spurious
name_numerology_score,Numerology score: sum of alphabetical positions of all letters,Derived from country name (pseudoscience),spurious
name_lucky_number,"Lucky number from numerology (score mod 9, range 1-9)",Derived from country name (pseudoscience),spurious
country_name_alphabetical_rank,"Alphabetical ranking of country name (1=first, 254=last)",Derived from country name,spurious
prestige_score,Combined prestige score: UNESCO sites + Michelin stars + Olympic medals,Derived from cultural and sporting achievement data,spurious
airports_per_1000_sqkm,Number of airports per 1000 km² of land area,Derived from airport count and area data,spurious
unesco_sites_per_1000_sqkm,UNESCO World Heritage Sites per 1000 km² of land area,Derived from UNESCO data and area data,spurious
rail_lines_total_km,Total railway line length in km,World Bank WDI (IS.RRS.TOTL.KM),incidental
air_freight_million_ton_km,Air freight in million ton-km,World Bank WDI (IS.AIR.GOOD.MT.K1),incidental
